snappath,dataset,para,job,centerx,centery,xlow,xup,ylow,yup
./snap49/lic_snap49.47.13.bmp,49,47,13,71,530,66,76,480,580
./snap49/lic_snap49.47.13.bmp,49,47,13,39,548,34,44,498,598
./snap49/lic_snap49.59.12.bmp,49,59,12,22,496,17,27,446,546
./snap49/lic_snap49.12.10.bmp,49,12,10,10,545,5,15,495,595
./snap49/lic_snap49.08.10.bmp,49,08,10,11,498,6,16,448,548
./snap49/lic_snap49.15.12.bmp,49,15,12,120,546,115,125,496,596
./snap49/lic_snap49.23.12.bmp,49,23,12,141,525,136,146,475,575
./snap49/lic_snap49.23.12.bmp,49,23,12,40,485,35,45,435,535
./snap49/lic_snap49.50.08.bmp,49,50,08,9,528,4,14,478,578
./snap49/lic_snap49.50.08.bmp,49,50,08,67,537,62,72,487,587
./snap49/lic_snap49.50.08.bmp,49,50,08,80,476,75,85,426,526
./snap49/lic_snap49.50.08.bmp,49,50,08,109,541,104,114,491,591
./snap49/lic_snap49.19.10.bmp,49,19,10,51,516,46,56,466,566
./snap49/lic_snap49.19.10.bmp,49,19,10,65,546,60,70,496,596
./snap49/lic_snap49.19.10.bmp,49,19,10,128,557,123,133,507,607
./snap49/lic_snap49.19.10.bmp,49,19,10,8,557,3,13,507,607
./snap49/lic_snap49.60.11.bmp,49,60,11,234,566,229,239,516,616
./snap49/lic_snap49.32.12.bmp,49,32,12,157,476,152,162,426,526
./snap49/lic_snap49.13.13.bmp,49,13,13,178,476,173,183,426,526
./snap49/lic_snap49.59.12.bmp,49,59,12,202,487,197,207,437,537
./snap49/lic_snap49.50.07.bmp,49,50,07,209,509,204,214,459,559
