snappath,dataset,para,job,centerx,centery,xlow,xup,ylow,yup
./snap77/lic_snap77.48.05.bmp,77,48,05,25,543,20,30,493,593
./snap77/lic_snap77.48.05.bmp,77,48,05,54,539,49,59,489,589
./snap77/lic_snap77.49.05.bmp,77,49,05,24,539,19,29,489,589
./snap77/lic_snap77.50.05.bmp,77,50,05,24,539,19,29,489,589
./snap77/lic_snap77.52.05.bmp,77,52,05,24,539,19,29,489,589
./snap77/lic_snap77.52.05.bmp,77,52,05,55,539,50,60,489,589
./snap77/lic_snap77.53.05.bmp,77,53,05,55,539,50,60,489,589
./snap77/lic_snap77.54.05.bmp,77,54,05,26,547,21,31,497,597
./snap77/lic_snap77.54.05.bmp,77,54,05,54,543,49,59,493,593
./snap77/lic_snap77.55.05.bmp,77,55,05,54,543,49,59,493,593
./snap77/lic_snap77.55.05.bmp,77,55,05,25,539,20,30,489,589
./snap77/lic_snap77.56.05.bmp,77,56,05,25,539,20,30,489,589
./snap77/lic_snap77.56.05.bmp,77,56,05,54,541,49,59,491,591
./snap77/lic_snap77.57.05.bmp,77,57,05,54,541,49,59,491,591
./snap77/lic_snap77.58.05.bmp,77,58,05,54,541,49,59,491,591
./snap77/lic_snap77.58.05.bmp,77,58,05,26,541,21,31,491,591
./snap77/lic_snap77.59.05.bmp,77,59,05,26,541,21,31,491,591
./snap77/lic_snap77.60.05.bmp,77,60,05,26,541,21,31,491,591
./snap77/lic_snap77.61.05.bmp,77,61,05,26,541,21,31,491,591
./snap77/lic_snap77.61.05.bmp,77,61,05,53,545,48,58,495,595
./snap77/lic_snap77.02.06.bmp,77,02,06,53,545,48,58,495,595
./snap77/lic_snap77.03.06.bmp,77,03,06,53,545,48,58,495,595
./snap77/lic_snap77.05.06.bmp,77,05,06,53,545,48,58,495,595
./snap77/lic_snap77.06.06.bmp,77,06,06,53,545,48,58,495,595
./snap77/lic_snap77.07.06.bmp,77,07,06,26,536,21,31,486,586
./snap77/lic_snap77.09.06.bmp,77,09,06,26,536,21,31,486,586
./snap77/lic_snap77.09.06.bmp,77,09,06,53,539,48,58,489,589
./snap77/lic_snap77.10.06.bmp,77,10,06,53,539,48,58,489,589
./snap77/lic_snap77.10.06.bmp,77,10,06,26,543,21,31,493,593
./snap77/lic_snap77.11.06.bmp,77,11,06,26,543,21,31,493,593
./snap77/lic_snap77.11.06.bmp,77,11,06,54,543,49,59,493,593
./snap77/lic_snap77.12.06.bmp,77,12,06,54,543,49,59,493,593
./snap77/lic_snap77.12.06.bmp,77,12,06,26,534,21,31,484,584
./snap77/lic_snap77.13.06.bmp,77,13,06,26,534,21,31,484,584
./snap77/lic_snap77.13.06.bmp,77,13,06,55,545,50,60,495,595
./snap77/lic_snap77.14.06.bmp,77,14,06,55,545,50,60,495,595
./snap77/lic_snap77.14.06.bmp,77,14,06,25,541,20,30,491,591
./snap77/lic_snap77.15.06.bmp,77,15,06,25,541,20,30,491,591
./snap77/lic_snap77.15.06.bmp,77,15,06,54,534,49,59,484,584
./snap77/lic_snap77.16.06.bmp,77,16,06,54,534,49,59,484,584
./snap77/lic_snap77.16.06.bmp,77,16,06,25,547,20,30,497,597
./snap77/lic_snap77.17.06.bmp,77,17,06,25,547,20,30,497,597
./snap77/lic_snap77.17.06.bmp,77,17,06,54,541,49,59,491,591
./snap77/lic_snap77.17.06.bmp,77,17,06,80,534,75,85,484,584
./snap77/lic_snap77.17.06.bmp,77,17,06,104,541,99,109,491,591
./snap77/lic_snap77.18.06.bmp,77,18,06,53,545,48,58,495,595
./snap77/lic_snap77.18.06.bmp,77,18,06,26,541,21,31,491,591
./snap77/lic_snap77.19.06.bmp,77,19,06,26,541,21,31,491,591
./snap77/lic_snap77.19.06.bmp,77,19,06,54,543,49,59,493,593
./snap77/lic_snap77.20.06.bmp,77,20,06,54,543,49,59,493,593
./snap77/lic_snap77.20.06.bmp,77,20,06,25,539,20,30,489,589
./snap77/lic_snap77.21.06.bmp,77,21,06,25,539,20,30,489,589
./snap77/lic_snap77.22.06.bmp,77,22,06,25,539,20,30,489,589
./snap77/lic_snap77.22.06.bmp,77,22,06,55,538,50,60,488,588
./snap77/lic_snap77.23.06.bmp,77,23,06,25,541,20,30,491,591
./snap77/lic_snap77.23.06.bmp,77,23,06,53,543,48,58,493,593
./snap77/lic_snap77.24.06.bmp,77,24,06,53,543,48,58,493,593
./snap77/lic_snap77.24.06.bmp,77,24,06,25,536,20,30,486,586
./snap77/lic_snap77.26.06.bmp,77,26,06,25,536,20,30,486,586
./snap77/lic_snap77.26.06.bmp,77,26,06,52,538,47,57,488,588
./snap77/lic_snap77.26.06.bmp,77,26,06,80,547,75,85,497,597
./snap77/lic_snap77.26.06.bmp,77,26,06,103,538,98,108,488,588
./snap77/lic_snap77.27.06.bmp,77,27,06,53,539,48,58,489,589
./snap77/lic_snap77.29.06.bmp,77,29,06,26,539,21,31,489,589
./snap77/lic_snap77.29.06.bmp,77,29,06,53,543,48,58,493,593
./snap77/lic_snap77.29.06.bmp,77,29,06,103,541,98,108,491,591
./snap77/lic_snap77.30.06.bmp,77,30,06,103,541,98,108,491,591
./snap77/lic_snap77.30.06.bmp,77,30,06,26,541,21,31,491,591
./snap77/lic_snap77.31.06.bmp,77,31,06,26,541,21,31,491,591
./snap77/lic_snap77.31.06.bmp,77,31,06,52,543,47,57,493,593
./snap77/lic_snap77.31.06.bmp,77,31,06,102,536,97,107,486,586
./snap77/lic_snap77.32.06.bmp,77,32,06,26,534,21,31,484,584
./snap77/lic_snap77.33.06.bmp,77,33,06,26,534,21,31,484,584
./snap77/lic_snap77.33.06.bmp,77,33,06,55,547,50,60,497,597
./snap77/lic_snap77.34.06.bmp,77,34,06,55,547,50,60,497,597
./snap77/lic_snap77.34.06.bmp,77,34,06,24,538,19,29,488,588
./snap77/lic_snap77.34.06.bmp,77,34,06,228,545,223,233,495,595
./snap77/lic_snap77.35.06.bmp,77,35,06,228,545,223,233,495,595
./snap77/lic_snap77.35.06.bmp,77,35,06,203,543,198,208,493,593
./snap77/lic_snap77.35.06.bmp,77,35,06,24,541,19,29,491,591
./snap77/lic_snap77.35.06.bmp,77,35,06,53,543,48,58,493,593
./snap77/lic_snap77.37.06.bmp,77,37,06,53,543,48,58,493,593
./snap77/lic_snap77.37.06.bmp,77,37,06,25,532,20,30,482,582
./snap77/lic_snap77.37.06.bmp,77,37,06,102,538,97,107,488,588
./snap77/lic_snap77.38.06.bmp,77,38,06,25,534,20,30,484,584
./snap77/lic_snap77.38.06.bmp,77,38,06,52,543,47,57,493,593
./snap77/lic_snap77.39.06.bmp,77,39,06,101,538,96,106,488,588
./snap77/lic_snap77.39.06.bmp,77,39,06,79,538,74,84,488,588
./snap77/lic_snap77.39.06.bmp,77,39,06,52,536,47,57,486,586
./snap77/lic_snap77.39.06.bmp,77,39,06,25,538,20,30,488,588
./snap77/lic_snap77.40.06.bmp,77,40,06,25,538,20,30,488,588
./snap77/lic_snap77.40.06.bmp,77,40,06,53,543,48,58,493,593
./snap77/lic_snap77.41.06.bmp,77,41,06,25,534,20,30,484,584
./snap77/lic_snap77.41.06.bmp,77,41,06,52,543,47,57,493,593
./snap77/lic_snap77.42.06.bmp,77,42,06,52,543,47,57,493,593
./snap77/lic_snap77.42.06.bmp,77,42,06,25,538,20,30,488,588
./snap77/lic_snap77.42.06.bmp,77,42,06,138,538,133,143,488,588
./snap77/lic_snap77.42.06.bmp,77,42,06,102,543,97,107,493,593
./snap77/lic_snap77.43.06.bmp,77,43,06,26,536,21,31,486,586
./snap77/lic_snap77.43.06.bmp,77,43,06,53,541,48,58,491,591
./snap77/lic_snap77.43.06.bmp,77,43,06,80,536,75,85,486,586
./snap77/lic_snap77.43.06.bmp,77,43,06,104,538,99,109,488,588
./snap77/lic_snap77.43.06.bmp,77,43,06,138,538,133,143,488,588
./snap77/lic_snap77.44.06.bmp,77,44,06,138,538,133,143,488,588
./snap77/lic_snap77.44.06.bmp,77,44,06,104,538,99,109,488,588
./snap77/lic_snap77.44.06.bmp,77,44,06,80,545,75,85,495,595
./snap77/lic_snap77.44.06.bmp,77,44,06,56,543,51,61,493,593
./snap77/lic_snap77.44.06.bmp,77,44,06,25,538,20,30,488,588
./snap77/lic_snap77.45.06.bmp,77,45,06,25,538,20,30,488,588
./snap77/lic_snap77.45.06.bmp,77,45,06,52,547,47,57,497,597
./snap77/lic_snap77.45.06.bmp,77,45,06,103,538,98,108,488,588
./snap77/lic_snap77.45.06.bmp,77,45,06,138,539,133,143,489,589
./snap77/lic_snap77.46.06.bmp,77,46,06,138,539,133,143,489,589
./snap77/lic_snap77.46.06.bmp,77,46,06,103,539,98,108,489,589
./snap77/lic_snap77.46.06.bmp,77,46,06,81,538,76,86,488,588
./snap77/lic_snap77.46.06.bmp,77,46,06,52,541,47,57,491,591
./snap77/lic_snap77.46.06.bmp,77,46,06,26,541,21,31,491,591
./snap77/lic_snap77.46.06.bmp,77,46,06,202,538,197,207,488,588
./snap77/lic_snap77.47.06.bmp,77,47,06,202,538,197,207,488,588
./snap77/lic_snap77.47.06.bmp,77,47,06,174,543,169,179,493,593
./snap77/lic_snap77.47.06.bmp,77,47,06,103,538,98,108,488,588
./snap77/lic_snap77.47.06.bmp,77,47,06,53,543,48,58,493,593
./snap77/lic_snap77.47.06.bmp,77,47,06,27,539,22,32,489,589
./snap77/lic_snap77.48.06.bmp,77,48,06,27,539,22,32,489,589
./snap77/lic_snap77.48.06.bmp,77,48,06,54,541,49,59,491,591
./snap77/lic_snap77.48.06.bmp,77,48,06,104,538,99,109,488,588
./snap77/lic_snap77.49.06.bmp,77,49,06,201,532,196,206,482,582
./snap77/lic_snap77.49.06.bmp,77,49,06,174,547,169,179,497,597
./snap77/lic_snap77.49.06.bmp,77,49,06,140,536,135,145,486,586
./snap77/lic_snap77.49.06.bmp,77,49,06,104,545,99,109,495,595
./snap77/lic_snap77.49.06.bmp,77,49,06,81,545,76,86,495,595
./snap77/lic_snap77.49.06.bmp,77,49,06,53,548,48,58,498,598
./snap77/lic_snap77.49.06.bmp,77,49,06,25,548,20,30,498,598
./snap77/lic_snap77.50.06.bmp,77,50,06,25,548,20,30,498,598
./snap77/lic_snap77.50.06.bmp,77,50,06,55,554,50,60,504,604
./snap77/lic_snap77.50.06.bmp,77,50,06,103,536,98,108,486,586
./snap77/lic_snap77.50.06.bmp,77,50,06,138,541,133,143,491,591
./snap77/lic_snap77.51.06.bmp,77,51,06,27,539,22,32,489,589
./snap77/lic_snap77.51.06.bmp,77,51,06,52,543,47,57,493,593
./snap77/lic_snap77.51.06.bmp,77,51,06,102,538,97,107,488,588
./snap77/lic_snap77.51.06.bmp,77,51,06,138,538,133,143,488,588
./snap77/lic_snap77.52.06.bmp,77,52,06,138,538,133,143,488,588
./snap77/lic_snap77.52.06.bmp,77,52,06,140,534,135,145,484,584
./snap77/lic_snap77.52.06.bmp,77,52,06,104,532,99,109,482,582
./snap77/lic_snap77.52.06.bmp,77,52,06,81,547,76,86,497,597
./snap77/lic_snap77.52.06.bmp,77,52,06,26,541,21,31,491,591
./snap77/lic_snap77.53.06.bmp,77,53,06,26,541,21,31,491,591
./snap77/lic_snap77.53.06.bmp,77,53,06,55,541,50,60,491,591
./snap77/lic_snap77.53.06.bmp,77,53,06,138,538,133,143,488,588
./snap77/lic_snap77.53.06.bmp,77,53,06,174,541,169,179,491,591
./snap77/lic_snap77.54.06.bmp,77,54,06,104,536,99,109,486,586
./snap77/lic_snap77.54.06.bmp,77,54,06,80,541,75,85,491,591
./snap77/lic_snap77.54.06.bmp,77,54,06,26,543,21,31,493,593
./snap77/lic_snap77.55.06.bmp,77,55,06,26,543,21,31,493,593
./snap77/lic_snap77.55.06.bmp,77,55,06,53,550,48,58,500,600
./snap77/lic_snap77.55.06.bmp,77,55,06,79,539,74,84,489,589
./snap77/lic_snap77.55.06.bmp,77,55,06,139,539,134,144,489,589
./snap77/lic_snap77.55.06.bmp,77,55,06,173,547,168,178,497,597
./snap77/lic_snap77.56.06.bmp,77,56,06,102,536,97,107,486,586
./snap77/lic_snap77.56.06.bmp,77,56,06,79,534,74,84,484,584
./snap77/lic_snap77.56.06.bmp,77,56,06,51,548,46,56,498,598
./snap77/lic_snap77.56.06.bmp,77,56,06,24,539,19,29,489,589
./snap77/lic_snap77.57.06.bmp,77,57,06,24,539,19,29,489,589
./snap77/lic_snap77.57.06.bmp,77,57,06,53,547,48,58,497,597
./snap77/lic_snap77.57.06.bmp,77,57,06,80,536,75,85,486,586
./snap77/lic_snap77.57.06.bmp,77,57,06,103,543,98,108,493,593
./snap77/lic_snap77.57.06.bmp,77,57,06,202,532,197,207,482,582
./snap77/lic_snap77.58.06.bmp,77,58,06,202,532,197,207,482,582
./snap77/lic_snap77.58.06.bmp,77,58,06,138,538,133,143,488,588
./snap77/lic_snap77.58.06.bmp,77,58,06,102,538,97,107,488,588
./snap77/lic_snap77.58.06.bmp,77,58,06,79,550,74,84,500,600
./snap77/lic_snap77.58.06.bmp,77,58,06,54,534,49,59,484,584
./snap77/lic_snap77.58.06.bmp,77,58,06,26,541,21,31,491,591
./snap77/lic_snap77.59.06.bmp,77,59,06,26,541,21,31,491,591
./snap77/lic_snap77.59.06.bmp,77,59,06,56,548,51,61,498,598
./snap77/lic_snap77.59.06.bmp,77,59,06,79,532,74,84,482,582
./snap77/lic_snap77.59.06.bmp,77,59,06,227,541,222,232,491,591
./snap77/lic_snap77.60.06.bmp,77,60,06,227,541,222,232,491,591
./snap77/lic_snap77.60.06.bmp,77,60,06,202,532,197,207,482,582
./snap77/lic_snap77.60.06.bmp,77,60,06,138,541,133,143,491,591
./snap77/lic_snap77.60.06.bmp,77,60,06,103,534,98,108,484,584
./snap77/lic_snap77.60.06.bmp,77,60,06,80,532,75,85,482,582
./snap77/lic_snap77.60.06.bmp,77,60,06,27,541,22,32,491,591
./snap77/lic_snap77.61.06.bmp,77,61,06,27,541,22,32,491,591
./snap77/lic_snap77.61.06.bmp,77,61,06,52,547,47,57,497,597
./snap77/lic_snap77.61.06.bmp,77,61,06,79,541,74,84,491,591
./snap77/lic_snap77.61.06.bmp,77,61,06,103,543,98,108,493,593
./snap77/lic_snap77.61.06.bmp,77,61,06,204,534,199,209,484,584
./snap77/lic_snap77.62.06.bmp,77,62,06,204,534,199,209,484,584
./snap77/lic_snap77.62.06.bmp,77,62,06,174,538,169,179,488,588
./snap77/lic_snap77.62.06.bmp,77,62,06,139,541,134,144,491,591
./snap77/lic_snap77.62.06.bmp,77,62,06,103,536,98,108,486,586
./snap77/lic_snap77.62.06.bmp,77,62,06,52,534,47,57,484,584
./snap77/lic_snap77.62.06.bmp,77,62,06,25,541,20,30,491,591
./snap77/lic_snap77.01.07.bmp,77,01,07,25,541,20,30,491,591
./snap77/lic_snap77.01.07.bmp,77,01,07,53,545,48,58,495,595
./snap77/lic_snap77.01.07.bmp,77,01,07,79,543,74,84,493,593
./snap77/lic_snap77.01.07.bmp,77,01,07,103,541,98,108,491,591
./snap77/lic_snap77.01.07.bmp,77,01,07,228,539,223,233,489,589
./snap77/lic_snap77.02.07.bmp,77,02,07,203,532,198,208,482,582
./snap77/lic_snap77.02.07.bmp,77,02,07,174,547,169,179,497,597
./snap77/lic_snap77.02.07.bmp,77,02,07,102,534,97,107,484,584
./snap77/lic_snap77.02.07.bmp,77,02,07,79,538,74,84,488,588
./snap77/lic_snap77.02.07.bmp,77,02,07,54,543,49,59,493,593
./snap77/lic_snap77.02.07.bmp,77,02,07,25,536,20,30,486,586
./snap77/lic_snap77.03.07.bmp,77,03,07,25,536,20,30,486,586
./snap77/lic_snap77.03.07.bmp,77,03,07,54,547,49,59,497,597
./snap77/lic_snap77.03.07.bmp,77,03,07,104,545,99,109,495,595
./snap77/lic_snap77.03.07.bmp,77,03,07,138,538,133,143,488,588
./snap77/lic_snap77.03.07.bmp,77,03,07,203,527,198,208,477,577
./snap77/lic_snap77.03.07.bmp,77,03,07,228,548,223,233,498,598
./snap77/lic_snap77.04.07.bmp,77,04,07,228,548,223,233,498,598
./snap77/lic_snap77.04.07.bmp,77,04,07,201,543,196,206,493,593
./snap77/lic_snap77.04.07.bmp,77,04,07,102,538,97,107,488,588
./snap77/lic_snap77.04.07.bmp,77,04,07,81,538,76,86,488,588
./snap77/lic_snap77.04.07.bmp,77,04,07,54,539,49,59,489,589
./snap77/lic_snap77.04.07.bmp,77,04,07,26,532,21,31,482,582
./snap77/lic_snap77.05.07.bmp,77,05,07,26,532,21,31,482,582
./snap77/lic_snap77.05.07.bmp,77,05,07,54,539,49,59,489,589
./snap77/lic_snap77.05.07.bmp,77,05,07,79,545,74,84,495,595
./snap77/lic_snap77.05.07.bmp,77,05,07,227,550,222,232,500,600
./snap77/lic_snap77.06.07.bmp,77,06,07,227,550,222,232,500,600
./snap77/lic_snap77.06.07.bmp,77,06,07,174,548,169,179,498,598
./snap77/lic_snap77.06.07.bmp,77,06,07,53,541,48,58,491,591
./snap77/lic_snap77.06.07.bmp,77,06,07,24,536,19,29,486,586
./snap77/lic_snap77.07.07.bmp,77,07,07,24,536,19,29,486,586
./snap77/lic_snap77.07.07.bmp,77,07,07,53,541,48,58,491,591
./snap77/lic_snap77.07.07.bmp,77,07,07,80,536,75,85,486,586
./snap77/lic_snap77.07.07.bmp,77,07,07,104,543,99,109,493,593
./snap77/lic_snap77.07.07.bmp,77,07,07,138,538,133,143,488,588
./snap77/lic_snap77.07.07.bmp,77,07,07,227,543,222,232,493,593
./snap77/lic_snap77.08.07.bmp,77,08,07,203,536,198,208,486,586
./snap77/lic_snap77.08.07.bmp,77,08,07,102,536,97,107,486,586
./snap77/lic_snap77.08.07.bmp,77,08,07,81,534,76,86,484,584
./snap77/lic_snap77.08.07.bmp,77,08,07,52,539,47,57,489,589
./snap77/lic_snap77.08.07.bmp,77,08,07,25,530,20,30,480,580
./snap77/lic_snap77.09.07.bmp,77,09,07,25,530,20,30,480,580
./snap77/lic_snap77.09.07.bmp,77,09,07,52,543,47,57,493,593
./snap77/lic_snap77.09.07.bmp,77,09,07,79,543,74,84,493,593
./snap77/lic_snap77.09.07.bmp,77,09,07,102,541,97,107,491,591
./snap77/lic_snap77.09.07.bmp,77,09,07,137,538,132,142,488,588
./snap77/lic_snap77.09.07.bmp,77,09,07,202,538,197,207,488,588
./snap77/lic_snap77.10.07.bmp,77,10,07,202,538,197,207,488,588
./snap77/lic_snap77.10.07.bmp,77,10,07,228,550,223,233,500,600
./snap77/lic_snap77.10.07.bmp,77,10,07,103,543,98,108,493,593
./snap77/lic_snap77.10.07.bmp,77,10,07,81,529,76,86,479,579
./snap77/lic_snap77.10.07.bmp,77,10,07,54,539,49,59,489,589
./snap77/lic_snap77.10.07.bmp,77,10,07,24,530,19,29,480,580
