snappath,dataset,para,job,centerx,centery,xlow,xup,ylow,yup
./snap49/lic_snap49.42.08.bmp,49,42,08,102,491,97,107,441,541
./snap49/lic_snap49.27.08.bmp,49,27,08,25,480,20,30,430,530
./snap49/lic_snap49.04.09.bmp,49,04,09,25,480,20,30,430,530
./snap49/lic_snap49.14.09.bmp,49,14,09,25,480,20,30,430,530
./snap49/lic_snap49.24.09.bmp,49,24,09,25,480,20,30,430,530
./snap49/lic_snap49.27.09.bmp,49,27,09,25,480,20,30,430,530
./snap49/lic_snap49.37.09.bmp,49,37,09,25,480,20,30,430,530
./snap49/lic_snap49.13.11.bmp,49,13,11,25,480,20,30,430,530
./snap49/lic_snap49.14.11.bmp,49,14,11,25,480,20,30,430,530
./snap49/lic_snap49.15.11.bmp,49,15,11,25,480,20,30,430,530
./snap49/lic_snap49.18.11.bmp,49,18,11,25,480,20,30,430,530
./snap49/lic_snap49.32.11.bmp,49,32,11,25,480,20,30,430,530
./snap49/lic_snap49.59.11.bmp,49,59,11,25,480,20,30,430,530
./snap49/lic_snap49.51.10.bmp,49,51,10,87,464,82,92,414,514
./snap49/lic_snap49.36.10.bmp,49,36,10,87,464,82,92,414,514
./snap49/lic_snap49.14.10.bmp,49,14,10,108,519,103,113,469,569
./snap49/lic_snap49.15.10.bmp,49,15,10,108,519,103,113,469,569
./snap49/lic_snap49.13.10.bmp,49,13,10,108,519,103,113,469,569
./snap49/lic_snap49.08.10.bmp,49,08,10,108,519,103,113,469,569
./snap49/lic_snap49.05.10.bmp,49,05,10,108,519,103,113,469,569
./snap49/lic_snap49.03.10.bmp,49,03,10,108,519,103,113,469,569
./snap49/lic_snap49.40.09.bmp,49,40,09,108,519,103,113,469,569
./snap49/lic_snap49.50.08.bmp,49,50,08,134,505,129,139,455,555
./snap49/lic_snap49.51.08.bmp,49,51,08,134,505,129,139,455,555
./snap49/lic_snap49.51.09.bmp,49,51,09,134,505,129,139,455,555
./snap49/lic_snap49.01.10.bmp,49,01,10,134,505,129,139,455,555
./snap49/lic_snap49.58.13.bmp,49,58,13,134,505,129,139,455,555
